complaint_text,complaint_type,location,priority
"hostel c is so far from the main building, cant walk ther",Transport,Hostel C,Medium
"the sports ground is so big, love playing ther",Sports Ground,Sports Ground,Medium
"the auditorium sound system is so bad, cant hear anything",Auditorium,Auditorium,High
"the libary books are so helpful, love reading them",Library,Library,Low
"hostel a is so dirty, cant live ther",Hostel,Hostel A,High
"the campus is so beautiful, love living ther",Campus (General),Campus (General),Low
"i cant submit my assignment, wifi is nt wrking",IT / Network,Hostel A,Medium
"the laboratory equipment is so cool, love using it",Laboratory,Laboratory,Low
"the mess food is so delicious, love eating ther",Mess / Canteen,Mess / Canteen,Medium
"i need help with my project, can i get a prof to guide me?",General,Main Building,Medium
"the sports ground is so crowded, cant play ther",Sports Ground,Sports Ground,Medium
"hostel d is so noisy, cant sleep at nite",Hostel,Hostel D,Medium
"the libary is so quiet, love studing ther",Library,Library,Low
"i dont like the hostel c food, its so bad",Mess / Canteen,Hostel C,Low
"the campus events are so much fun, love attending them",General,Campus (General),Low
"the main building ac is nt wrking, its so hot",Civil / Infrastructure,Main Building,High
"the food in the mess is so spicy, cant eat it",Mess / Canteen,Mess / Canteen,Low
"i love the new lab equipment, its so cool",Laboratory,Laboratory,Low
"the auditorium seats are so uncomfortable, cant sit ther",Auditorium,Auditorium,Low
"hostel a is so far from the main building, cant walk ther",Transport,Hostel A,Medium
"the libary books are so old, needs to be replaced",Library,Library,Medium
"the sports ground is so big, love playing ther",Sports Ground,Sports Ground,Medium
"the campus is so green, love the trees",Campus (General),Campus (General),Low
"i cant print my docs in the lab, printer is nt wrking",IT / Network,Laboratory,High
"the mess food is so bad, cant eat it",Mess / Canteen,Mess / Canteen,Low
"i need help with my wifi password, forgot it 😊",IT / Network,Hostel D,Low
"the laboratory equipment is so old, needs to be replaced",Laboratory,Laboratory,Medium
"hostel d is so clean, love living ther",Hostel,Hostel D,Low
"the libary is so quiet, love studing ther",Library,Library,Low
"i dont like the hostel b rooms, they are so small",Hostel,Hostel B,Medium
"the food in the mess is so oily, cant eat it",Mess / Canteen,Mess / Canteen,Low
"the campus events are so much fun, love attending them",General,Campus (General),Low
"the main building wifi is so weak, cant studie ther",IT / Network,Main Building,Low
"i cant study in hostel a bc wifi is nt working, complaint is about wifi",Electricity,Hostel A,Medium
"my prof is so mean, he gave me a low grade 🤕",IT / Network,Main Building,High
"hostel c is so dirty, pls clean it",Hostel,Hostel C,Low
"the food in mess is so bad, it makes me sick 🤢",Mess / Canteen,Mess / Canteen,High
i lost my bike in campus,General,Campus (General),Medium
"the lab equip is so outdated, we cant do our projects",Laboratory,Laboratory,High
"library is too noisy, cant study",Library,Library,Medium
i need help with my wifi password,IT / Network,Hostel B,Low
"the road to hostel d is so bad, pls fix it",Civil / Infrastructure,Hostel D,Medium
"the sports ground is amazing, love playing there 🏀",Transport,Sports Ground,Low
"my room in hostel a is so cold, no heating",Hostel,Hostel A,Medium
the canteen food is so expensive,General,Mess / Canteen,Low
i cant print my notes in library,Library,Library,Medium
the auditorium ac is not working,Civil / Infrastructure,Auditorium,High
i love the new wifi in hostel b,Electricity,Hostel B,Low
hostel c water supply is so bad,Water Supply,Hostel C,High
"the lab assistant is so helpful, thanks",IT / Network,Laboratory,Medium
i cant access the library,General,Library,Low
the bike parking in campus is so bad,Transport,Campus (General),Medium
the hostel a receptionist is so mean,Hostel,Hostel A,High
"the food in hostel c is so good, love it",Mess / Canteen,Hostel C,Low
"the library books are so old, pls update",Library,Library,Medium
i need help with my lab project,IT / Network,Laboratory,Medium
the campus parking is so expensive,Transport,Campus (General),Low
the hostel d room is so small,Hostel,Hostel D,Medium
the sports ground is so far from hostel a,General,Sports Ground,Low
"the mess food is so bad, it makes me sick 🤢",Mess / Canteen,Mess / Canteen,High
"i love the new lab equipment, thanks",Laboratory,Laboratory,Medium
"the auditorium is so big, love it",General,Auditorium,Low
the hostel b water supply is so good,Water Supply,Hostel B,Medium
"the library is so quiet, love studying there",Library,Library,Low
the bike rental in campus is so expensive,Transport,Campus (General),Medium
the hostel c receptionist is so helpful,Hostel,Hostel C,Medium
the food in hostel a is so expensive,General,Hostel A,Low
"the lab is so cold, no heating",Laboratory,Laboratory,Medium
i cant access the hostel d,General,Hostel D,Low
"the sports ground is so good, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so good, love it",Mess / Canteen,Mess / Canteen,Low
"the library is so hot, no ac",Library,Library,High
"the auditorium is so amazing, love it",General,Auditorium,Medium
"the hostel a room is so big, love it",Hostel,Hostel A,Low
"the campus is so beautiful, love it",General,Campus (General),Low
"the hostel b is so dirty, pls clean it",Hostel,Hostel B,Medium
"the lab equipment is so old, pls update",IT / Network,Laboratory,High
"the library books are so good, love reading",Library,Library,Medium
the bike parking in hostel c is so bad,Transport,Hostel C,Low
"the sports ground is so amazing, love playing there 🏀",General,Sports Ground,Medium
the mess food is so expensive,General,Mess / Canteen,Low
the hostel d receptionist is so mean,Hostel,Hostel D,High
"the auditorium ac is so good, thanks",Civil / Infrastructure,Auditorium,Medium
"the library is so quiet, love studying",Library,Library,Low
the campus parking is so bad,Transport,Campus (General),Medium
the hostel a water supply is so good,Water Supply,Hostel A,Medium
"the lab is so noisy, cant study",Laboratory,Laboratory,High
the sports ground is so far from hostel b,General,Sports Ground,Low
"the mess food is so bad, it makes me sick",Mess / Canteen,Mess / Canteen,High
the hostel c room is so small,Hostel,Hostel C,Medium
"the library books are so old, pls update",Library,Library,Medium
the bike rental in campus is so good,Transport,Campus (General),Medium
"the auditorium is so big, love it",General,Auditorium,Low
the hostel b receptionist is so helpful,Hostel,Hostel B,Medium
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel d water supply is so bad,Water Supply,Hostel D,High
"the lab equipment is so good, thanks",IT / Network,Laboratory,Medium
"the library is so hot, no ac",Library,Library,High
"the sports ground is so amazing, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so good, love it",Mess / Canteen,Mess / Canteen,Low
the hostel a receptionist is so mean,Hostel,Hostel A,High
"the auditorium is so amazing, love it",General,Auditorium,Medium
the campus parking is so expensive,Transport,Campus (General),Low
"the hostel c room is so big, love it",Hostel,Hostel C,Medium
"the lab is so cold, no heating",Laboratory,Laboratory,Medium
"the library books are so good, love reading",Library,Library,Medium
the bike parking in hostel d is so bad,Transport,Hostel D,Low
"the sports ground is so good, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so bad, it makes me sick 🤢",Mess / Canteen,Mess / Canteen,High
the hostel b water supply is so bad,Water Supply,Hostel B,High
the auditorium ac is not working,Civil / Infrastructure,Auditorium,High
"the library is so quiet, love studying",Library,Library,Low
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel d receptionist is so helpful,Hostel,Hostel D,Medium
"the lab equipment is so old, pls update",IT / Network,Laboratory,High
"the sports ground is so amazing, love playing there 🏀",General,Sports Ground,Medium
the mess food is so expensive,General,Mess / Canteen,Low
the hostel a room is so small,Hostel,Hostel A,Medium
"the library books are so old, pls update",Library,Library,Medium
the bike rental in campus is so good,Transport,Campus (General),Medium
"the auditorium is so big, love it",General,Auditorium,Low
the hostel c receptionist is so mean,Hostel,Hostel C,High
the campus parking is so bad,Transport,Campus (General),Medium
"the hostel b room is so big, love it",Hostel,Hostel B,Medium
"the lab is so noisy, cant study",Laboratory,Laboratory,High
the sports ground is so far from hostel c,General,Sports Ground,Low
"the mess food is so good, love it",Mess / Canteen,Mess / Canteen,Low
the hostel d water supply is so good,Water Supply,Hostel D,Medium
"the library is so hot, no ac",Library,Library,High
"the auditorium is so amazing, love it",General,Auditorium,Medium
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel a receptionist is so helpful,Hostel,Hostel A,Medium
"the lab equipment is so good, thanks",IT / Network,Laboratory,Medium
"the sports ground is so amazing, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so bad, it makes me sick",Mess / Canteen,Mess / Canteen,High
"the hostel c room is so big, love it",Hostel,Hostel C,Medium
"the library books are so good, love reading",Library,Library,Medium
the bike parking in hostel a is so bad,Transport,Hostel A,Low
"the auditorium ac is so good, thanks",Civil / Infrastructure,Auditorium,Medium
the hostel b receptionist is so mean,Hostel,Hostel B,High
the campus parking is so expensive,Transport,Campus (General),Low
the hostel d room is so small,Hostel,Hostel D,Medium
"the lab is so cold, no heating",Laboratory,Laboratory,Medium
"the sports ground is so good, love playing there",Sports Ground,Sports Ground,Medium
the mess food is so expensive,General,Mess / Canteen,Low
the hostel a water supply is so bad,Water Supply,Hostel A,High
"the library is so quiet, love studying",Library,Library,Low
"the auditorium is so big, love it",General,Auditorium,Low
the hostel c receptionist is so helpful,Hostel,Hostel C,Medium
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel b room is so small,Hostel,Hostel B,Medium
"the lab equipment is so old, pls update",IT / Network,Laboratory,High
"the sports ground is so amazing, love playing there 🏀",General,Sports Ground,Medium
"the mess food is so good, love it",Mess / Canteen,Mess / Canteen,Low
the hostel d receptionist is so mean,Hostel,Hostel D,High
"the library books are so old, pls update",Library,Library,Medium
the bike rental in campus is so bad,Transport,Campus (General),Medium
the auditorium ac is not working,Civil / Infrastructure,Auditorium,High
"the hostel a room is so big, love it",Hostel,Hostel A,Medium
"the lab is so noisy, cant study",Laboratory,Laboratory,High
the sports ground is so far from hostel b,General,Sports Ground,Low
"the mess food is so bad, it makes me sick 🤢",Mess / Canteen,Mess / Canteen,High
the hostel c water supply is so good,Water Supply,Hostel C,Medium
"the library is so hot, no ac",Library,Library,High
"the auditorium is so amazing, love it",General,Auditorium,Medium
the campus parking is so bad,Transport,Campus (General),Medium
the hostel b receptionist is so helpful,Hostel,Hostel B,Medium
"the lab equipment is so good, thanks",IT / Network,Laboratory,Medium
"the sports ground is so amazing, love playing there",Sports Ground,Sports Ground,Medium
the mess food is so expensive,General,Mess / Canteen,Low
"the hostel d room is so big, love it",Hostel,Hostel D,Medium
"the library books are so good, love reading",Library,Library,Medium
the bike parking in hostel c is so bad,Transport,Hostel C,Low
"the auditorium is so big, love it",General,Auditorium,Low
the hostel a receptionist is so mean,Hostel,Hostel A,High
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel c room is so small,Hostel,Hostel C,Medium
"the lab is so cold, no heating",Laboratory,Laboratory,Medium
"the sports ground is so good, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so bad, it makes me sick",Mess / Canteen,Mess / Canteen,High
the hostel b water supply is so good,Water Supply,Hostel B,Medium
"the library is so quiet, love studying",Library,Library,Low
"the auditorium ac is so good, thanks",Civil / Infrastructure,Auditorium,Medium
the hostel d receptionist is so helpful,Hostel,Hostel D,Medium
"the lab equipment is so old, pls update",IT / Network,Laboratory,High
"the sports ground is so amazing, love playing there 🏀",General,Sports Ground,Medium
"the mess food is so good, love it",Mess / Canteen,Mess / Canteen,Low
the hostel a room is so small,Hostel,Hostel A,Medium
"the library books are so old, pls update",Library,Library,Medium
the bike rental in campus is so good,Transport,Campus (General),Medium
"the auditorium is so big, love it",General,Auditorium,Low
the hostel c receptionist is so mean,Hostel,Hostel C,High
the campus parking is so expensive,Transport,Campus (General),Low
"the hostel b room is so big, love it",Hostel,Hostel B,Medium
"the lab is so noisy, cant study",Laboratory,Laboratory,High
the sports ground is so far from hostel c,General,Sports Ground,Low
the mess food is so expensive,General,Mess / Canteen,Low
the hostel d water supply is so bad,Water Supply,Hostel D,High
"the library is so hot, no ac",Library,Library,High
"the auditorium is so amazing, love it",General,Auditorium,Medium
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel a receptionist is so helpful,Hostel,Hostel A,Medium
"the lab equipment is so good, thanks",IT / Network,Laboratory,Medium
"the sports ground is so amazing, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so bad, it makes me sick 🤢",Mess / Canteen,Mess / Canteen,High
"the hostel c room is so big, love it",Hostel,Hostel C,Medium
"the library books are so good, love reading",Library,Library,Medium
the bike parking in hostel d is so bad,Transport,Hostel D,Low
"the auditorium ac is so good, thanks",Civil / Infrastructure,Auditorium,Medium
the hostel b receptionist is so mean,Hostel,Hostel B,High
the campus parking is so bad,Transport,Campus (General),Medium
the hostel d room is so small,Hostel,Hostel D,Medium
"the lab is so cold, no heating",Laboratory,Laboratory,Medium
"the sports ground is so good, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so good, love it",Mess / Canteen,Mess / Canteen,Low
the hostel a water supply is so good,Water Supply,Hostel A,Medium
"the library is so quiet, love studying",Library,Library,Low
"the auditorium is so big, love it",General,Auditorium,Low
the hostel c receptionist is so helpful,Hostel,Hostel C,Medium
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel b room is so small,Hostel,Hostel B,Medium
"the lab equipment is so old, pls update",IT / Network,Laboratory,High
"the sports ground is so amazing, love playing there 🏀",General,Sports Ground,Medium
the mess food is so expensive,General,Mess / Canteen,Low
the hostel d receptionist is so mean,Hostel,Hostel D,High
"the library books are so old, pls update",Library,Library,Medium
the bike rental in campus is so bad,Transport,Campus (General),Medium
the auditorium ac is not working,Civil / Infrastructure,Auditorium,High
"the hostel a room is so big, love it",Hostel,Hostel A,Medium
"the lab is so noisy, cant study",Laboratory,Laboratory,High
the sports ground is so far from hostel a,General,Sports Ground,Low
"the mess food is so bad, it makes me sick",Mess / Canteen,Mess / Canteen,High
the hostel c water supply is so bad,Water Supply,Hostel C,High
"the library is so hot, no ac",Library,Library,High
"the auditorium is so amazing, love it",General,Auditorium,Medium
the campus parking is so expensive,Transport,Campus (General),Low
the hostel b receptionist is so helpful,Hostel,Hostel B,Medium
"the lab equipment is so good, thanks",IT / Network,Laboratory,Medium
"the sports ground is so amazing, love playing there",Sports Ground,Sports Ground,Medium
"the mess food is so good, love it",Mess / Canteen,Mess / Canteen,Low
"the hostel d room is so big, love it",Hostel,Hostel D,Medium
"the library books are so good, love reading",Library,Library,Medium
the bike parking in hostel b is so bad,Transport,Hostel B,Low
"the auditorium is so big, love it",General,Auditorium,Low
the hostel a receptionist is so mean,Hostel,Hostel A,High
"the campus is so beautiful, love it",General,Campus (General),Low
the hostel c room is so small,Hostel,Hostel C,Medium
"the lab is so cold, no heating",Laboratory,Laboratory,Medium
"the sports ground is so good, love playing there",Sports Ground,Sports Ground,Medium
the mess food is so expensive,General,Mess / Canteen,Low
the hostel b water supply is so bad,Water Supply,Hostel B,High
"the library is so quiet, love studying",Library,Library,Low
"the auditorium ac is so good, thanks",Civil / Infrastructure,Auditorium,Medium
the hostel d receptionist is so helpful,Hostel,Hostel D,Medium
"the lab equipment is so old, pls update",IT / Network,Laboratory,High
"the sports ground is so amazing, love playing there 🏀",General,Sports Ground,Medium
"the mess food is so bad, it makes me sick 🤢",Mess / Canteen,Mess / Canteen,High
the hostel a room is so small,Hostel,Hostel A,Medium
"the library books are so old, pls update",Library,Library,Medium
"i cant study in hostel a cuz the wifi is super slow, pls fix it ASAP, its really annoying 🙄",IT / Network,Hostel A,High
"my prof gave me a bad grade and i think its unfair, i need to talk to him but his office hrs are weird",General,Main Building,Medium
"hostel b's mess food is disgusting 🤢, they never listen to our feedback, we need a change",Hostel,Hostel B,Medium
"laboratory equipment is old and broken, we cant even do our experiments properly, its so frustrating 🤯",Civil / Infrastructure,Laboratory,High
"there's no water supply in hostel c, we have to walk all the way to hostel b to take a shower, its ridiculous 🚿",Water Supply,Hostel C,High
"i love the new library, its so quiet and peaceful 🙏, but the chairs are really uncomfortable",Library,Library,Low
"i think the sports ground needs better lighting, its hard to play at night 🏀",Civil / Infrastructure,Sports Ground,Medium
"the auditorium's sound system is awful, we cant even hear the speaker, its so annoying 🎧",Civil / Infrastructure,Auditorium,High
"i lost my phone in the mess and no one returned it, its so frustrating 📴",General,Mess / Canteen,Medium
"the campus is really beautiful, but the roads are so bad, we need to fix them ASAP 🚗",Civil / Infrastructure,Campus (General),High
"hostel d's rooms are really small, we need more space, its so uncomfortable 🛋️",Hostel,Hostel D,Medium
"the it department is really helpful, they fixed my laptop in no time 🕒",IT / Network,Main Building,Low
"i dont like the new canteen menu, its so boring, we need more options 🍔",Mess / Canteen,Mess / Canteen,Low
"the laboratory is really cold, we need to fix the ac, its so uncomfortable ❄️",Civil / Infrastructure,Laboratory,Medium
"i think the hostel fees are too high, we need to reduce them ASAP, its so expensive 💸",Hostel,Hostel A,High
"the library's opening hrs are really limited, we need to extend them, its so inconvenient 🕒",Library,Library,Medium
"the transport system is really bad, we need to add more buses, its so crowded 🚌",Transport,Campus (General),High
"i love the new lab equipment, its so cool 🎉, but the instructor is really boring",General,Laboratory,Low
"the mess food is really bad, we need to change the contractor, its so disgusting 🤢",Mess / Canteen,Mess / Canteen,Medium
"there's no electricity in hostel b, we have to use candles, its so dangerous 🕯️",Electricity,Hostel B,High
"the sports ground is really nice, but the equipment is old, we need to replace it ASAP 🏋️‍♀️",Civil / Infrastructure,Sports Ground,Medium
"i think the profs are really helpful, they always listen to our problems",General,Main Building,Low
"the auditorium's seats are really uncomfortable, we need to replace them ASAP 🛋️",Civil / Infrastructure,Auditorium,Medium
"i lost my wallet in the library, its so frustrating 📚",General,Library,Medium
"the campus is really big, we need to add more benches, its so tiring 🏃‍♀️",Civil / Infrastructure,Campus (General),Low
"hostel a's rooms are really nice, but the wifi is slow, its so annoying 🙄",IT / Network,Hostel A,Medium
"the it department is really slow, they took forever to fix my laptop, its so frustrating 🕒",IT / Network,Main Building,Medium
"i dont like the new hostel rules, its so strict, we need to relax them ASAP 🚫",Hostel,Hostel B,High
"the laboratory is really interesting, but the experiments are so boring",General,Laboratory,Low
"the library's books are really old, we need to update them ASAP, its so outdated 📖",Library,Library,Medium
"the transport system is really good, we need to add more routes, its so convenient 🚌",Transport,Campus (General),Low
"i think the hostel fees are too low, we need to increase them ASAP, its so cheap 💸",Hostel,Hostel C,Low
"the mess food is really nice, but the service is slow, its so annoying 🍴",Mess / Canteen,Mess / Canteen,Medium
"there's no water supply in the library, we have to walk all the way to the mess, its so ridiculous 🚿",Water Supply,Library,High
"the sports ground is really nice, but the toilets are so dirty, its so disgusting 🚽",Civil / Infrastructure,Sports Ground,Medium
"i love the new auditorium, its so big and nice, but the sound system is awful, its so annoying 🎧",Civil / Infrastructure,Auditorium,High
"i lost my phone in the laboratory, its so frustrating 📴",General,Laboratory,Medium
"the campus is really beautiful, but the roads are so bad, we need to fix them ASAP, its so uncomfortable 🚗",Civil / Infrastructure,Campus (General),High
"hostel d's rooms are really nice, but the ac is not working, its so hot 🌡️",Hostel,Hostel D,Medium
"the it department is really helpful, they fixed my laptop in no time, but the wifi is slow, its so annoying 🙄",IT / Network,Main Building,Low
"i dont like the new canteen menu, its so boring, we need more options, its so limited 🍔",Mess / Canteen,Mess / Canteen,Low
"the laboratory is really interesting, but the instructor is so boring",General,Laboratory,Low
"the library's opening hrs are really limited, we need to extend them, its so inconvenient, but the library is really nice 🕒",Library,Library,Medium
"the transport system is really bad, we need to add more buses, its so crowded, but the drivers are really nice 🚌",Transport,Campus (General),High
"i think the hostel fees are too high, we need to reduce them ASAP, its so expensive, but the hostel is really nice 💸",Hostel,Hostel A,High
"the mess food is really bad, we need to change the contractor, its so disgusting, but the service is really fast 🤢",Mess / Canteen,Mess / Canteen,Medium
"there's no electricity in the laboratory, we have to use generators, its so dangerous, but the lab is really interesting 🕯️",Electricity,Laboratory,High
"the sports ground is really nice, but the equipment is old, we need to replace it ASAP, its so outdated 🏋️‍♀️",Civil / Infrastructure,Sports Ground,Medium
"i love the new lab equipment, its so cool, but the instructor is really boring",General,Laboratory,Low
"the auditorium's seats are really uncomfortable, we need to replace them ASAP, its so uncomfortable, but the auditorium is really big 🛋️",Civil / Infrastructure,Auditorium,Medium
"i lost my wallet in the mess, its so frustrating, but the food is really nice 📚",General,Mess / Canteen,Medium
"the campus is really big, we need to add more benches, its so tiring, but the campus is really beautiful 🏃‍♀️",Civil / Infrastructure,Campus (General),Low
"hostel b's rooms are really small, we need more space, its so uncomfortable, but the hostel is really nice 🛋️",Hostel,Hostel B,Medium
"the it department is really slow, they took forever to fix my laptop, its so frustrating, but the it department is really helpful 🕒",IT / Network,Main Building,Medium
"i dont like the new hostel rules, its so strict, we need to relax them ASAP, but the hostel is really safe 🚫",Hostel,Hostel C,High
"the laboratory is really interesting, but the experiments are so boring",General,Laboratory,Low
"the library's books are really old, we need to update them ASAP, its so outdated, but the library is really quiet 📖",Library,Library,Medium
"the transport system is really good, we need to add more routes, its so convenient, but the buses are really crowded 🚌",Transport,Campus (General),Low
"i think the hostel fees are too low, we need to increase them ASAP, its so cheap, but the hostel is really nice 💸",Hostel,Hostel D,Low
"the mess food is really nice, but the service is slow, its so annoying, but the mess is really clean 🍴",Mess / Canteen,Mess / Canteen,Medium
"there's no water supply in the hostel, we have to walk all the way to the mess, its so ridiculous, but the hostel is really nice 🚿",Water Supply,Hostel A,High
"the sports ground is really nice, but the toilets are so dirty, its so disgusting, but the sports ground is really big 🚽",Civil / Infrastructure,Sports Ground,Medium
"i love the new auditorium, its so big and nice, but the sound system is awful, its so annoying, but the auditorium is really interesting 🎧",Civil / Infrastructure,Auditorium,High
"i lost my phone in the laboratory, its so frustrating, but the lab is really interesting 📴",General,Laboratory,Medium
"the campus is really beautiful, but the roads are so bad, we need to fix them ASAP, its so uncomfortable, but the campus is really big 🚗",Civil / Infrastructure,Campus (General),High
"hostel a's rooms are really nice, but the wifi is slow, its so annoying, but the hostel is really safe 🙄",IT / Network,Hostel A,Medium
"the it department is really helpful, they fixed my laptop in no time, but the wifi is slow, its so annoying, but the it department is really nice 🕒",IT / Network,Main Building,Low
"i dont like the new canteen menu, its so boring, we need more options, its so limited, but the canteen is really clean 🍔",Mess / Canteen,Mess / Canteen,Low
"the laboratory is really interesting, but the instructor is so boring",General,Laboratory,Low
"the library's opening hrs are really limited, we need to extend them, its so inconvenient, but the library is really quiet 🕒",Library,Library,Medium
"the transport system is really bad, we need to add more buses, its so crowded, but the drivers are really nice 🚌",Transport,Campus (General),High
"i think the hostel fees are too high, we need to reduce them ASAP, its so expensive, but the hostel is really nice 💸",Hostel,Hostel B,High
"the mess food is really bad, we need to change the contractor, its so disgusting, but the service is really fast 🤢",Mess / Canteen,Mess / Canteen,Medium
"there's no electricity in the hostel, we have to use candles, its so dangerous, but the hostel is really nice 🕯️",Electricity,Hostel C,High
"the sports ground is really nice, but the equipment is old, we need to replace it ASAP, its so outdated, but the sports ground is really big 🏋️‍♀️",Civil / Infrastructure,Sports Ground,Medium
"i love the new lab equipment, its so cool, but the instructor is really boring",General,Laboratory,Low
"the auditorium's seats are really uncomfortable, we need to replace them ASAP, its so uncomfortable, but the auditorium is really big 🛋️",Civil / Infrastructure,Auditorium,Medium
"i lost my wallet in the mess, its so frustrating, but the food is really nice 📚",General,Mess / Canteen,Medium
"the campus is really big, we need to add more benches, its so tiring, but the campus is really beautiful 🏃‍♀️",Civil / Infrastructure,Campus (General),Low
"hostel d's rooms are really small, we need more space, its so uncomfortable, but the hostel is really safe 🛋️",Hostel,Hostel D,Medium
"the it department is really slow, they took forever to fix my laptop, its so frustrating, but the it department is really helpful 🕒",IT / Network,Main Building,Medium
"i dont like the new hostel rules, its so strict, we need to relax them ASAP, but the hostel is really safe 🚫",Hostel,Hostel A,High
"the laboratory is really interesting, but the experiments are so boring",General,Laboratory,Low
"the library's books are really old, we need to update them ASAP, its so outdated, but the library is really quiet 📖",Library,Library,Medium
"the transport system is really good, we need to add more routes, its so convenient, but the buses are really crowded 🚌",Transport,Campus (General),Low
"i think the hostel fees are too low, we need to increase them ASAP, its so cheap, but the hostel is really nice 💸",Hostel,Hostel B,Low
"the mess food is really nice, but the service is slow, its so annoying, but the mess is really clean 🍴",Mess / Canteen,Mess / Canteen,Medium
"there's no water supply in the laboratory, we have to walk all the way to the mess, its so ridiculous, but the lab is really interesting 🚿",Water Supply,Laboratory,High
"the sports ground is really nice, but the toilets are so dirty, its so disgusting, but the sports ground is really big 🚽",Civil / Infrastructure,Sports Ground,Medium
"i love the new auditorium, its so big and nice, but the sound system is awful, its so annoying, but the auditorium is really interesting 🎧",Civil / Infrastructure,Auditorium,High
"i lost my phone in the hostel, its so frustrating, but the hostel is really nice 📴",General,Hostel C,Medium
"the campus is really beautiful, but the roads are so bad, we need to fix them ASAP, its so uncomfortable, but the campus is really big 🚗",Civil / Infrastructure,Campus (General),High
"hostel b's rooms are really nice, but the wifi is slow, its so annoying, but the hostel is really safe 🙄",IT / Network,Hostel B,Medium
"the it department is really helpful, they fixed my laptop in no time, but the wifi is slow, its so annoying, but the it department is really nice 🕒",IT / Network,Main Building,Low
"i dont like the new canteen menu, its so boring, we need more options, its so limited, but the canteen is really clean 🍔",Mess / Canteen,Mess / Canteen,Low
"the laboratory is really interesting, but the instructor is so boring",General,Laboratory,Low
"the library's opening hrs are really limited, we need to extend them, its so inconvenient, but the library is really quiet 🕒",Library,Library,Medium
"the transport system is really bad, we need to add more buses, its so crowded, but the drivers are really nice 🚌",Transport,Campus (General),High
"i think the hostel fees are too high, we need to reduce them ASAP, its so expensive, but the hostel is really nice 💸",Hostel,Hostel D,High
"the mess food is really bad, we need to change the contractor, its so disgusting, but the service is really fast 🤢",Mess / Canteen,Mess / Canteen,Medium
"there's no electricity in the laboratory, we have to use generators, its so dangerous, but the lab is really interesting 🕯️",Electricity,Laboratory,High
"the sports ground is really nice, but the equipment is old, we need to replace it ASAP, its so outdated, but the sports ground is really big 🏋️‍♀️",Civil / Infrastructure,Sports Ground,Medium
"i love the new lab equipment, its so cool, but the instructor is really boring",General,Laboratory,Low
"the auditorium's seats are really uncomfortable, we need to replace them ASAP, its so uncomfortable, but the auditorium is really big 🛋️",Civil / Infrastructure,Auditorium,Medium
"i lost my wallet in the library, its so frustrating, but the library is really quiet 📚",General,Library,Medium
"the campus is really big, we need to add more benches, its so tiring, but the campus is really beautiful 🏃‍♀️",Civil / Infrastructure,Campus (General),Low
"hostel a's rooms are really small, we need more space, its so uncomfortable, but the hostel is really safe 🛋️",Hostel,Hostel A,Medium
"the it department is really slow, they took forever to fix my laptop, its so frustrating, but the it department is really helpful 🕒",IT / Network,Main Building,Medium
"i dont like the new hostel rules, its so strict, we need to relax them ASAP, but the hostel is really safe 🚫",Hostel,Hostel B,High
"the laboratory is really interesting, but the experiments are so boring",General,Laboratory,Low
"the library's books are really old, we need to update them ASAP, its so outdated, but the library is really quiet 📖",Library,Library,Medium
"the transport system is really good, we need to add more routes, its so convenient, but the buses are really crowded 🚌",Transport,Campus (General),Low
"i think the hostel fees are too low, we need to increase them ASAP, its so cheap, but the hostel is really nice 💸",Hostel,Hostel C,Low
"the mess food is really nice, but the service is slow, its so annoying, but the mess is really clean 🍴",Mess / Canteen,Mess / Canteen,Medium
"there's no water supply in the hostel, we have to walk all the way to the mess, its so ridiculous, but the hostel is really nice 🚿",Water Supply,Hostel D,High
"the sports ground is really nice, but the toilets are so dirty, its so disgusting, but the sports ground is really big 🚽",Civil / Infrastructure,Sports Ground,Medium
"i love the new auditorium, its so big and nice, but the sound system is awful, its so annoying, but the auditorium is really interesting 🎧",Civil / Infrastructure,Auditorium,High
"my wifi nt working in hostel a, pls fix asap",Electricity,Hostel A,High
mess food is so bad 🤢,Mess / Canteen,Mess / Canteen,Medium
"lab equipment is outdated, we need new ones urgently",IT / Network,Laboratory,High
"hostel b room 105 has a leaky tap, pls send someone to fix",Water Supply,Hostel B,Low
"i lost my id card in the library, can u pls help me",General,Library,Medium
"transport bus is always late, whats the point of having a bus if its nt gonna be on time",Transport,Campus (General),High
"prof xyz is really mean, he didnt give me an extension on the assignment",Hostel,Main Building,Low
library doesnt have enuf books on artificial intelligence,Library,Library,Medium
"sports ground is in bad condition, we need to fix it before someone gets hurt",Civil / Infrastructure,Sports Ground,High
i cant connect to the wifi in the auditorium,IT / Network,Auditorium,Medium
